strike,type,market_price,implied_vol
295.0,call,23.2,0.289957084553817
300.0,call,18.0,0.22054267842499184
305.0,call,14.48,0.2663614317618343
310.0,call,10.8,0.2623139974304379
315.0,call,7.8,0.26406762051793664
320.0,call,5.25,0.2594578159267782
325.0,call,3.4,0.25901650433369744
330.0,call,2.15,0.2619976567242457
335.0,call,1.29,0.26369307880541015
340.0,call,0.7,0.26144502533557873
345.0,call,0.45,0.2725409117638637
350.0,call,0.26,0.27747206479711956
355.0,call,0.14,0.2799253050561635
360.0,call,0.09,0.290168974871248
365.0,call,0.06,0.3010689177574524
370.0,call,0.05,0.31933723467090624
375.0,call,0.04,0.33503457229145456
380.0,call,0.06,0.375302552237054
385.0,call,0.05,0.39072153213426036
390.0,call,0.09,0.4430767110287052
395.0,call,0.03,0.41296689319167235
400.0,call,0.01,0.3919316979459364
405.0,call,0.01,0.4109356565806479
225.0,put,0.02,0.6147297923639478
230.0,put,0.03,0.6015720104012598
235.0,put,0.1,0.6456410251679422
240.0,put,0.05,0.5578352387301904
245.0,put,0.11,0.5719913534935486
250.0,put,0.07,0.5030514113221102
255.0,put,0.06,0.45709924859471457
260.0,put,0.08,0.43585674092620585
265.0,put,0.12,0.42100540094823163
270.0,put,0.14,0.39130386060688516
275.0,put,0.18,0.3665239179919511
280.0,put,0.25,0.3454758669547342
285.0,put,0.38,0.32941363406895713
290.0,put,0.56,0.3109868782275949
295.0,put,0.91,0.299827962107573
300.0,put,1.39,0.28438391333841606
305.0,put,2.4,0.2845053100333195
310.0,put,3.63,0.2738136102466511
315.0,put,5.55,0.27159319411610783
320.0,put,8.92,0.3047398141079957
325.0,put,11.8,0.296430437576612
330.0,put,13.97,0.22216088885004734
335.0,put,19.25,0.29146095331858557
340.0,put,33.45,0.7901987456169367
345.0,put,33.4,0.6213059190101053
350.0,put,39.19,0.7156735428270162
